"CUSTOMER_RK";"report_dttm";"AVG_SAL_AMT_ALL_1Y";"AVG_SAL_AMT_ADD_1Y";"AVG_SAL_AMT_MAIN_1Y";"AVG_SAL_AMT_ALL_6M";"AVG_SAL_AMT_ADD_6M";"AVG_SAL_AMT_MAIN_6M";"AVG_SAL_AMT_ALL_3M";"AVG_SAL_AMT_ADD_3M";"AVG_SAL_AMT_MAIN_3M";"AVG_SAL_AMT_ALL_2M";"AVG_SAL_AMT_ADD_2M";"AVG_SAL_AMT_MAIN_2M";"AVG_SAL_AMT_ALL_1M";"AVG_SAL_AMT_ADD_1M";"AVG_SAL_AMT_MAIN_1M";"SUM_SAL_AMT_ALL_1Y";"SUM_SAL_AMT_ADD_1Y";"SUM_SAL_AMT_MAIN_1Y";"SUM_SAL_AMT_ALL_6M";"SUM_SAL_AMT_ADD_6M";"SUM_SAL_AMT_MAIN_6M";"SUM_SAL_AMT_ALL_3M";"SUM_SAL_AMT_ADD_3M";"SUM_SAL_AMT_MAIN_3M";"SUM_SAL_AMT_ALL_2M";"SUM_SAL_AMT_ADD_2M";"SUM_SAL_AMT_MAIN_2M";"SUM_SAL_AMT_ALL_1M";"SUM_SAL_AMT_ADD_1M";"SUM_SAL_AMT_MAIN_1M";"MAX_SAL_AMT_ALL_1Y";"MAX_SAL_AMT_ADD_1Y";"MAX_SAL_AMT_MAIN_1Y";"MAX_SAL_AMT_ALL_6M";"MAX_SAL_AMT_ADD_6M";"MAX_SAL_AMT_MAIN_6M";"MAX_SAL_AMT_ALL_3M";"MAX_SAL_AMT_ADD_3M";"MAX_SAL_AMT_MAIN_3M";"MAX_SAL_AMT_ALL_2M";"MAX_SAL_AMT_ADD_2M";"MAX_SAL_AMT_MAIN_2M";"MAX_SAL_AMT_ALL_1M";"MAX_SAL_AMT_ADD_1M";"MAX_SAL_AMT_MAIN_1M"
697;2022-03-23 18:49:42.098 +0300;139448.250000000000;140192.333333333333;137216.000000000000;139448.250000000000;140192.333333333333;137216.000000000000;146468.000000000000;151094.000000000000;137216.000000000000;146468.000000000000;151094.000000000000;137216.000000000000;151094.000000000000;151094.000000000000;;557793.00000;420577.00000;137216.00000;557793.00000;420577.00000;137216.00000;439404.00000;302188.00000;137216.00000;439404.00000;302188.00000;137216.00000;302188.00000;302188.00000;;153255.00000;153255.00000;137216.00000;153255.00000;153255.00000;137216.00000;153255.00000;153255.00000;137216.00000;153255.00000;153255.00000;137216.00000;153255.00000;153255.00000;
698;2022-03-23 18:49:42.098 +0300;162373.333333333333;100375.000000000000;286370.000000000000;162373.333333333333;100375.000000000000;286370.000000000000;173013.000000000000;59656.000000000000;286370.000000000000;173013.000000000000;59656.000000000000;286370.000000000000;173013.000000000000;59656.000000000000;286370.000000000000;487120.00000;200750.00000;286370.00000;487120.00000;200750.00000;286370.00000;346026.00000;59656.00000;286370.00000;346026.00000;59656.00000;286370.00000;346026.00000;59656.00000;286370.00000;286370.00000;141094.00000;286370.00000;286370.00000;141094.00000;286370.00000;286370.00000;59656.00000;286370.00000;286370.00000;59656.00000;286370.00000;286370.00000;59656.00000;286370.00000
699;2022-03-23 18:49:42.098 +0300;127391.600000000000;83508.000000000000;156647.333333333333;127391.600000000000;83508.000000000000;156647.333333333333;135601.500000000000;72464.000000000000;156647.333333333333;135601.500000000000;72464.000000000000;156647.333333333333;119798.000000000000;;119798.000000000000;636958.00000;167016.00000;469942.00000;636958.00000;167016.00000;469942.00000;542406.00000;72464.00000;469942.00000;542406.00000;72464.00000;469942.00000;239596.00000;;239596.00000;230346.00000;94552.00000;230346.00000;230346.00000;94552.00000;230346.00000;230346.00000;72464.00000;230346.00000;230346.00000;72464.00000;230346.00000;129395.00000;;129395.00000
700;2022-03-23 18:49:42.098 +0300;190377.250000000000;203431.000000000000;177323.500000000000;201435.000000000000;249658.000000000000;177323.500000000000;201435.000000000000;249658.000000000000;177323.500000000000;201435.000000000000;249658.000000000000;177323.500000000000;201435.000000000000;249658.000000000000;177323.500000000000;761509.00000;406862.00000;354647.00000;604305.00000;249658.00000;354647.00000;604305.00000;249658.00000;354647.00000;604305.00000;249658.00000;354647.00000;604305.00000;249658.00000;354647.00000;249658.00000;249658.00000;180735.00000;249658.00000;249658.00000;180735.00000;249658.00000;249658.00000;180735.00000;249658.00000;249658.00000;180735.00000;249658.00000;249658.00000;180735.00000
701;2022-03-23 18:49:42.098 +0300;197061.000000000000;164772.000000000000;245494.500000000000;207808.000000000000;170121.500000000000;245494.500000000000;257147.333333333333;280453.000000000000;245494.500000000000;257147.333333333333;280453.000000000000;245494.500000000000;280941.000000000000;280453.000000000000;281429.000000000000;985305.00000;494316.00000;490989.00000;831232.00000;340243.00000;490989.00000;771442.00000;280453.00000;490989.00000;771442.00000;280453.00000;490989.00000;561882.00000;280453.00000;281429.00000;281429.00000;280453.00000;281429.00000;281429.00000;280453.00000;281429.00000;281429.00000;280453.00000;281429.00000;281429.00000;280453.00000;281429.00000;281429.00000;280453.00000;281429.00000
702;2022-03-23 18:49:42.098 +0300;239571.500000000000;;239571.500000000000;203028.000000000000;;203028.000000000000;203028.000000000000;;203028.000000000000;203028.000000000000;;203028.000000000000;;;;479143.00000;;479143.00000;203028.00000;;203028.00000;203028.00000;;203028.00000;203028.00000;;203028.00000;;;;276115.00000;;276115.00000;203028.00000;;203028.00000;203028.00000;;203028.00000;203028.00000;;203028.00000;;;
703;2022-03-23 18:49:42.098 +0300;261516.000000000000;;261516.000000000000;261516.000000000000;;261516.000000000000;;;;;;;;;;261516.00000;;261516.00000;261516.00000;;261516.00000;;;;;;;;;;261516.00000;;261516.00000;261516.00000;;261516.00000;;;;;;;;;
704;2022-03-23 18:49:42.098 +0300;221237.750000000000;206303.000000000000;236172.500000000000;206963.333333333333;206303.000000000000;208284.000000000000;246379.000000000000;246379.000000000000;;246379.000000000000;246379.000000000000;;246379.000000000000;246379.000000000000;;884951.00000;412606.00000;472345.00000;620890.00000;412606.00000;208284.00000;246379.00000;246379.00000;;246379.00000;246379.00000;;246379.00000;246379.00000;;264061.00000;246379.00000;264061.00000;246379.00000;246379.00000;208284.00000;246379.00000;246379.00000;;246379.00000;246379.00000;;246379.00000;246379.00000;
705;2022-03-23 18:49:42.098 +0300;232552.500000000000;;232552.500000000000;232552.500000000000;;232552.500000000000;232552.500000000000;;232552.500000000000;232552.500000000000;;232552.500000000000;232552.500000000000;;232552.500000000000;465105.00000;;465105.00000;465105.00000;;465105.00000;465105.00000;;465105.00000;465105.00000;;465105.00000;465105.00000;;465105.00000;286802.00000;;286802.00000;286802.00000;;286802.00000;286802.00000;;286802.00000;286802.00000;;286802.00000;286802.00000;;286802.00000
706;2022-03-23 18:49:42.098 +0300;182227.333333333333;196563.000000000000;175059.500000000000;182227.333333333333;196563.000000000000;175059.500000000000;127097.500000000000;196563.000000000000;57632.000000000000;127097.500000000000;196563.000000000000;57632.000000000000;127097.500000000000;196563.000000000000;57632.000000000000;546682.00000;196563.00000;350119.00000;546682.00000;196563.00000;350119.00000;254195.00000;196563.00000;57632.00000;254195.00000;196563.00000;57632.00000;254195.00000;196563.00000;57632.00000;292487.00000;196563.00000;292487.00000;292487.00000;196563.00000;292487.00000;196563.00000;196563.00000;57632.00000;196563.00000;196563.00000;57632.00000;196563.00000;196563.00000;57632.00000
707;2022-03-23 18:49:42.098 +0300;127550.000000000000;90882.000000000000;145884.000000000000;127550.000000000000;90882.000000000000;145884.000000000000;127550.000000000000;90882.000000000000;145884.000000000000;127550.000000000000;90882.000000000000;145884.000000000000;127550.000000000000;90882.000000000000;145884.000000000000;382650.00000;90882.00000;291768.00000;382650.00000;90882.00000;291768.00000;382650.00000;90882.00000;291768.00000;382650.00000;90882.00000;291768.00000;382650.00000;90882.00000;291768.00000;250000.00000;90882.00000;250000.00000;250000.00000;90882.00000;250000.00000;250000.00000;90882.00000;250000.00000;250000.00000;90882.00000;250000.00000;250000.00000;90882.00000;250000.00000
708;2022-03-23 18:49:42.098 +0300;154988.666666666667;108349.000000000000;248268.000000000000;141602.500000000000;34937.000000000000;248268.000000000000;34937.000000000000;34937.000000000000;;34937.000000000000;34937.000000000000;;;;;464966.00000;216698.00000;248268.00000;283205.00000;34937.00000;248268.00000;34937.00000;34937.00000;;34937.00000;34937.00000;;;;;248268.00000;181761.00000;248268.00000;248268.00000;34937.00000;248268.00000;34937.00000;34937.00000;;34937.00000;34937.00000;;;;
709;2022-03-23 18:49:42.098 +0300;161443.000000000000;133619.000000000000;217091.000000000000;161443.000000000000;133619.000000000000;217091.000000000000;209704.000000000000;202317.000000000000;217091.000000000000;209704.000000000000;202317.000000000000;217091.000000000000;202317.000000000000;202317.000000000000;;484329.00000;267238.00000;217091.00000;484329.00000;267238.00000;217091.00000;419408.00000;202317.00000;217091.00000;419408.00000;202317.00000;217091.00000;202317.00000;202317.00000;;217091.00000;202317.00000;217091.00000;217091.00000;202317.00000;217091.00000;217091.00000;202317.00000;217091.00000;217091.00000;202317.00000;217091.00000;202317.00000;202317.00000;
710;2022-03-23 18:49:42.098 +0300;189866.333333333333;;189866.333333333333;189866.333333333333;;189866.333333333333;190276.000000000000;;190276.000000000000;190276.000000000000;;190276.000000000000;190276.000000000000;;190276.000000000000;569599.00000;;569599.00000;569599.00000;;569599.00000;380552.00000;;380552.00000;380552.00000;;380552.00000;380552.00000;;380552.00000;191224.00000;;191224.00000;191224.00000;;191224.00000;191224.00000;;191224.00000;191224.00000;;191224.00000;191224.00000;;191224.00000
711;2022-03-23 18:49:42.098 +0300;161907.500000000000;161907.500000000000;;161907.500000000000;161907.500000000000;;74326.000000000000;74326.000000000000;;74326.000000000000;74326.000000000000;;74326.000000000000;74326.000000000000;;323815.00000;323815.00000;;323815.00000;323815.00000;;74326.00000;74326.00000;;74326.00000;74326.00000;;74326.00000;74326.00000;;249489.00000;249489.00000;;249489.00000;249489.00000;;74326.00000;74326.00000;;74326.00000;74326.00000;;74326.00000;74326.00000;
712;2022-03-23 18:49:42.098 +0300;157551.000000000000;189297.000000000000;125805.000000000000;116157.000000000000;96861.000000000000;125805.000000000000;133037.000000000000;96861.000000000000;169213.000000000000;133037.000000000000;96861.000000000000;169213.000000000000;96861.000000000000;96861.000000000000;;630204.00000;378594.00000;251610.00000;348471.00000;96861.00000;251610.00000;266074.00000;96861.00000;169213.00000;266074.00000;96861.00000;169213.00000;96861.00000;96861.00000;;281733.00000;281733.00000;169213.00000;169213.00000;96861.00000;169213.00000;169213.00000;96861.00000;169213.00000;169213.00000;96861.00000;169213.00000;96861.00000;96861.00000;
713;2022-03-23 18:49:42.098 +0300;194856.000000000000;123003.000000000000;266709.000000000000;194856.000000000000;123003.000000000000;266709.000000000000;123003.000000000000;123003.000000000000;;123003.000000000000;123003.000000000000;;123003.000000000000;123003.000000000000;;389712.00000;123003.00000;266709.00000;389712.00000;123003.00000;266709.00000;123003.00000;123003.00000;;123003.00000;123003.00000;;123003.00000;123003.00000;;266709.00000;123003.00000;266709.00000;266709.00000;123003.00000;266709.00000;123003.00000;123003.00000;;123003.00000;123003.00000;;123003.00000;123003.00000;
714;2022-03-23 18:49:42.098 +0300;145865.333333333333;92900.000000000000;251796.000000000000;171953.000000000000;92110.000000000000;251796.000000000000;171953.000000000000;92110.000000000000;251796.000000000000;171953.000000000000;92110.000000000000;251796.000000000000;171953.000000000000;92110.000000000000;251796.000000000000;437596.00000;185800.00000;251796.00000;343906.00000;92110.00000;251796.00000;343906.00000;92110.00000;251796.00000;343906.00000;92110.00000;251796.00000;343906.00000;92110.00000;251796.00000;251796.00000;93690.00000;251796.00000;251796.00000;92110.00000;251796.00000;251796.00000;92110.00000;251796.00000;251796.00000;92110.00000;251796.00000;251796.00000;92110.00000;251796.00000
715;2022-03-23 18:49:42.098 +0300;212980.666666666667;289283.000000000000;174829.500000000000;212980.666666666667;289283.000000000000;174829.500000000000;212980.666666666667;289283.000000000000;174829.500000000000;212980.666666666667;289283.000000000000;174829.500000000000;80768.000000000000;;80768.000000000000;638942.00000;289283.00000;349659.00000;638942.00000;289283.00000;349659.00000;638942.00000;289283.00000;349659.00000;638942.00000;289283.00000;349659.00000;80768.00000;;80768.00000;289283.00000;289283.00000;268891.00000;289283.00000;289283.00000;268891.00000;289283.00000;289283.00000;268891.00000;289283.00000;289283.00000;268891.00000;80768.00000;;80768.00000
716;2022-03-23 18:49:42.098 +0300;104650.666666666667;;104650.666666666667;104650.666666666667;;104650.666666666667;104650.666666666667;;104650.666666666667;104650.666666666667;;104650.666666666667;79810.500000000000;;79810.500000000000;313952.00000;;313952.00000;313952.00000;;313952.00000;313952.00000;;313952.00000;313952.00000;;313952.00000;159621.00000;;159621.00000;154331.00000;;154331.00000;154331.00000;;154331.00000;154331.00000;;154331.00000;154331.00000;;154331.00000;97151.00000;;97151.00000
717;2022-03-23 18:49:42.098 +0300;194512.166666666667;202240.500000000000;179055.500000000000;188421.200000000000;194665.000000000000;179055.500000000000;188421.200000000000;194665.000000000000;179055.500000000000;188421.200000000000;194665.000000000000;179055.500000000000;173220.750000000000;167386.000000000000;179055.500000000000;1167073.00000;808962.00000;358111.00000;942106.00000;583995.00000;358111.00000;942106.00000;583995.00000;358111.00000;942106.00000;583995.00000;358111.00000;692883.00000;334772.00000;358111.00000;254363.00000;254363.00000;205520.00000;254363.00000;254363.00000;205520.00000;254363.00000;254363.00000;205520.00000;254363.00000;254363.00000;205520.00000;254363.00000;254363.00000;205520.00000
718;2022-03-23 18:49:42.098 +0300;159597.500000000000;199799.000000000000;146197.000000000000;146197.000000000000;;146197.000000000000;146197.000000000000;;146197.000000000000;146197.000000000000;;146197.000000000000;146197.000000000000;;146197.000000000000;638390.00000;199799.00000;438591.00000;438591.00000;;438591.00000;438591.00000;;438591.00000;438591.00000;;438591.00000;438591.00000;;438591.00000;199799.00000;199799.00000;198324.00000;198324.00000;;198324.00000;198324.00000;;198324.00000;198324.00000;;198324.00000;198324.00000;;198324.00000
719;2022-03-23 18:49:42.098 +0300;86472.500000000000;69515.000000000000;103430.000000000000;86472.500000000000;69515.000000000000;103430.000000000000;69515.000000000000;69515.000000000000;;69515.000000000000;69515.000000000000;;69515.000000000000;69515.000000000000;;172945.00000;69515.00000;103430.00000;172945.00000;69515.00000;103430.00000;69515.00000;69515.00000;;69515.00000;69515.00000;;69515.00000;69515.00000;;103430.00000;69515.00000;103430.00000;103430.00000;69515.00000;103430.00000;69515.00000;69515.00000;;69515.00000;69515.00000;;69515.00000;69515.00000;
720;2022-03-23 18:49:42.098 +0300;176224.666666666667;182986.000000000000;162702.000000000000;160340.000000000000;157978.000000000000;162702.000000000000;160340.000000000000;157978.000000000000;162702.000000000000;160340.000000000000;157978.000000000000;162702.000000000000;157978.000000000000;157978.000000000000;;528674.00000;365972.00000;162702.00000;320680.00000;157978.00000;162702.00000;320680.00000;157978.00000;162702.00000;320680.00000;157978.00000;162702.00000;157978.00000;157978.00000;;207994.00000;207994.00000;162702.00000;162702.00000;157978.00000;162702.00000;162702.00000;157978.00000;162702.00000;162702.00000;157978.00000;162702.00000;157978.00000;157978.00000;
721;2022-03-23 18:49:42.098 +0300;64023.000000000000;64023.000000000000;;64023.000000000000;64023.000000000000;;64023.000000000000;64023.000000000000;;64023.000000000000;64023.000000000000;;67400.000000000000;67400.000000000000;;128046.00000;128046.00000;;128046.00000;128046.00000;;128046.00000;128046.00000;;128046.00000;128046.00000;;67400.00000;67400.00000;;67400.00000;67400.00000;;67400.00000;67400.00000;;67400.00000;67400.00000;;67400.00000;67400.00000;;67400.00000;67400.00000;
722;2022-03-23 18:49:42.098 +0300;82683.000000000000;82683.000000000000;;;;;;;;;;;;;;82683.00000;82683.00000;;;;;;;;;;;;;;82683.00000;82683.00000;;;;;;;;;;;;;
723;2022-03-23 18:49:42.098 +0300;180532.000000000000;141356.000000000000;258884.000000000000;182209.000000000000;131092.333333333333;258884.000000000000;205198.500000000000;151513.000000000000;258884.000000000000;205198.500000000000;151513.000000000000;258884.000000000000;279450.000000000000;259120.000000000000;299780.000000000000;1083192.00000;565424.00000;517768.00000;911045.00000;393277.00000;517768.00000;820794.00000;303026.00000;517768.00000;820794.00000;303026.00000;517768.00000;558900.00000;259120.00000;299780.00000;299780.00000;259120.00000;299780.00000;299780.00000;259120.00000;299780.00000;299780.00000;259120.00000;299780.00000;299780.00000;259120.00000;299780.00000;299780.00000;259120.00000;299780.00000
724;2022-03-23 18:49:42.098 +0300;166865.333333333333;41231.000000000000;229682.500000000000;135182.000000000000;41231.000000000000;229133.000000000000;41231.000000000000;41231.000000000000;;41231.000000000000;41231.000000000000;;41231.000000000000;41231.000000000000;;500596.00000;41231.00000;459365.00000;270364.00000;41231.00000;229133.00000;41231.00000;41231.00000;;41231.00000;41231.00000;;41231.00000;41231.00000;;230232.00000;41231.00000;230232.00000;229133.00000;41231.00000;229133.00000;41231.00000;41231.00000;;41231.00000;41231.00000;;41231.00000;41231.00000;
725;2022-03-23 18:49:42.098 +0300;129715.500000000000;129715.500000000000;;129715.500000000000;129715.500000000000;;129715.500000000000;129715.500000000000;;129715.500000000000;129715.500000000000;;129715.500000000000;129715.500000000000;;259431.00000;259431.00000;;259431.00000;259431.00000;;259431.00000;259431.00000;;259431.00000;259431.00000;;259431.00000;259431.00000;;211085.00000;211085.00000;;211085.00000;211085.00000;;211085.00000;211085.00000;;211085.00000;211085.00000;;211085.00000;211085.00000;
726;2022-03-23 18:49:42.098 +0300;109050.000000000000;109050.000000000000;;;;;;;;;;;;;;109050.00000;109050.00000;;;;;;;;;;;;;;109050.00000;109050.00000;;;;;;;;;;;;;
727;2022-03-23 18:49:42.098 +0300;210982.000000000000;204242.333333333333;231201.000000000000;210982.000000000000;204242.333333333333;231201.000000000000;262398.666666666667;277997.500000000000;231201.000000000000;262398.666666666667;277997.500000000000;231201.000000000000;262398.666666666667;277997.500000000000;231201.000000000000;843928.00000;612727.00000;231201.00000;843928.00000;612727.00000;231201.00000;787196.00000;555995.00000;231201.00000;787196.00000;555995.00000;231201.00000;787196.00000;555995.00000;231201.00000;291413.00000;291413.00000;231201.00000;291413.00000;291413.00000;231201.00000;291413.00000;291413.00000;231201.00000;291413.00000;291413.00000;231201.00000;291413.00000;291413.00000;231201.00000
728;2022-03-23 18:49:42.098 +0300;223497.500000000000;197584.666666666667;249410.333333333333;219053.600000000000;173518.500000000000;249410.333333333333;199848.000000000000;173518.500000000000;226177.500000000000;199848.000000000000;173518.500000000000;226177.500000000000;215147.333333333333;173518.500000000000;298405.000000000000;1340985.00000;592754.00000;748231.00000;1095268.00000;347037.00000;748231.00000;799392.00000;347037.00000;452355.00000;799392.00000;347037.00000;452355.00000;645442.00000;347037.00000;298405.00000;298405.00000;245717.00000;298405.00000;298405.00000;192574.00000;298405.00000;298405.00000;192574.00000;298405.00000;298405.00000;192574.00000;298405.00000;298405.00000;192574.00000;298405.00000
729;2022-03-23 18:49:42.098 +0300;133999.000000000000;116233.000000000000;151765.000000000000;133999.000000000000;116233.000000000000;151765.000000000000;133999.000000000000;116233.000000000000;151765.000000000000;133999.000000000000;116233.000000000000;151765.000000000000;116233.000000000000;116233.000000000000;;267998.00000;116233.00000;151765.00000;267998.00000;116233.00000;151765.00000;267998.00000;116233.00000;151765.00000;267998.00000;116233.00000;151765.00000;116233.00000;116233.00000;;151765.00000;116233.00000;151765.00000;151765.00000;116233.00000;151765.00000;151765.00000;116233.00000;151765.00000;151765.00000;116233.00000;151765.00000;116233.00000;116233.00000;
730;2022-03-23 18:49:42.098 +0300;134073.750000000000;61401.000000000000;206746.500000000000;134073.750000000000;61401.000000000000;206746.500000000000;134073.750000000000;61401.000000000000;206746.500000000000;134073.750000000000;61401.000000000000;206746.500000000000;134073.750000000000;61401.000000000000;206746.500000000000;536295.00000;122802.00000;413493.00000;536295.00000;122802.00000;413493.00000;536295.00000;122802.00000;413493.00000;536295.00000;122802.00000;413493.00000;536295.00000;122802.00000;413493.00000;221454.00000;76716.00000;221454.00000;221454.00000;76716.00000;221454.00000;221454.00000;76716.00000;221454.00000;221454.00000;76716.00000;221454.00000;221454.00000;76716.00000;221454.00000
