"CUSTOMER_RK";"report_dttm";"MIN_TRN_AMT_USD_NRTL_4W";"MIN_TRN_AMT_RUB_NRTL_4W";"MIN_TRN_AMT_USD_CASH_4W";"MIN_TRN_AMT_RUB_CASH_4W";"MIN_TRN_AMT_USD_TRVL_4W";"MIN_TRN_AMT_RUB_TRVL_4W";"MIN_TRN_AMT_USD_MED_4W";"MIN_TRN_AMT_RUB_MED_4W";"MIN_TRN_AMT_USD_RTL_4W";"MIN_TRN_AMT_RUB_RTL_4W";"MIN_TRN_AMT_USD_NRTL_3W";"MIN_TRN_AMT_RUB_NRTL_3W";"MIN_TRN_AMT_USD_CASH_3W";"MIN_TRN_AMT_RUB_CASH_3W";"MIN_TRN_AMT_USD_TRVL_3W";"MIN_TRN_AMT_RUB_TRVL_3W";"MIN_TRN_AMT_USD_MED_3W";"MIN_TRN_AMT_RUB_MED_3W";"MIN_TRN_AMT_USD_RTL_3W";"MIN_TRN_AMT_RUB_RTL_3W";"MIN_TRN_AMT_USD_NRTL_2W";"MIN_TRN_AMT_RUB_NRTL_2W";"MIN_TRN_AMT_USD_CASH_2W";"MIN_TRN_AMT_RUB_CASH_2W";"MIN_TRN_AMT_USD_TRVL_2W";"MIN_TRN_AMT_RUB_TRVL_2W";"MIN_TRN_AMT_USD_MED_2W";"MIN_TRN_AMT_RUB_MED_2W";"MIN_TRN_AMT_USD_RTL_2W";"MIN_TRN_AMT_RUB_RTL_2W";"MIN_TRN_AMT_USD_NRTL_1W";"MIN_TRN_AMT_RUB_NRTL_1W";"MIN_TRN_AMT_USD_CASH_1W";"MIN_TRN_AMT_RUB_CASH_1W";"MIN_TRN_AMT_USD_TRVL_1W";"MIN_TRN_AMT_RUB_TRVL_1W";"MIN_TRN_AMT_USD_MED_1W";"MIN_TRN_AMT_RUB_MED_1W";"MIN_TRN_AMT_USD_RTL_1W";"MIN_TRN_AMT_RUB_RTL_1W";"MAX_TRN_AMT_USD_NRTL_4W";"MAX_TRN_AMT_RUB_NRTL_4W";"MAX_TRN_AMT_USD_CASH_4W";"MAX_TRN_AMT_RUB_CASH_4W";"MAX_TRN_AMT_USD_TRVL_4W";"MAX_TRN_AMT_RUB_TRVL_4W";"MAX_TRN_AMT_USD_MED_4W";"MAX_TRN_AMT_RUB_MED_4W";"MAX_TRN_AMT_USD_RTL_4W";"MAX_TRN_AMT_RUB_RTL_4W";"MAX_TRN_AMT_USD_NRTL_3W";"MAX_TRN_AMT_RUB_NRTL_3W";"MAX_TRN_AMT_USD_CASH_3W";"MAX_TRN_AMT_RUB_CASH_3W";"MAX_TRN_AMT_USD_TRVL_3W";"MAX_TRN_AMT_RUB_TRVL_3W";"MAX_TRN_AMT_USD_MED_3W";"MAX_TRN_AMT_RUB_MED_3W";"MAX_TRN_AMT_USD_RTL_3W";"MAX_TRN_AMT_RUB_RTL_3W";"MAX_TRN_AMT_USD_NRTL_2W";"MAX_TRN_AMT_RUB_NRTL_2W";"MAX_TRN_AMT_USD_CASH_2W";"MAX_TRN_AMT_RUB_CASH_2W";"MAX_TRN_AMT_USD_TRVL_2W";"MAX_TRN_AMT_RUB_TRVL_2W";"MAX_TRN_AMT_USD_MED_2W";"MAX_TRN_AMT_RUB_MED_2W";"MAX_TRN_AMT_USD_RTL_2W";"MAX_TRN_AMT_RUB_RTL_2W";"MAX_TRN_AMT_USD_NRTL_1W";"MAX_TRN_AMT_RUB_NRTL_1W";"MAX_TRN_AMT_USD_CASH_1W";"MAX_TRN_AMT_RUB_CASH_1W";"MAX_TRN_AMT_USD_TRVL_1W";"MAX_TRN_AMT_RUB_TRVL_1W";"MAX_TRN_AMT_USD_MED_1W";"MAX_TRN_AMT_RUB_MED_1W";"MAX_TRN_AMT_USD_RTL_1W";"MAX_TRN_AMT_RUB_RTL_1W";"SUM_TRN_AMT_USD_NRTL_4W";"SUM_TRN_AMT_RUB_NRTL_4W";"SUM_TRN_AMT_USD_CASH_4W";"SUM_TRN_AMT_RUB_CASH_4W";"SUM_TRN_AMT_USD_TRVL_4W";"SUM_TRN_AMT_RUB_TRVL_4W";"SUM_TRN_AMT_USD_MED_4W";"SUM_TRN_AMT_RUB_MED_4W";"SUM_TRN_AMT_USD_RTL_4W";"SUM_TRN_AMT_RUB_RTL_4W";"SUM_TRN_AMT_USD_NRTL_3W";"SUM_TRN_AMT_RUB_NRTL_3W";"SUM_TRN_AMT_USD_CASH_3W";"SUM_TRN_AMT_RUB_CASH_3W";"SUM_TRN_AMT_USD_TRVL_3W";"SUM_TRN_AMT_RUB_TRVL_3W";"SUM_TRN_AMT_USD_MED_3W";"SUM_TRN_AMT_RUB_MED_3W";"SUM_TRN_AMT_USD_RTL_3W";"SUM_TRN_AMT_RUB_RTL_3W";"SUM_TRN_AMT_USD_NRTL_2W";"SUM_TRN_AMT_RUB_NRTL_2W";"SUM_TRN_AMT_USD_CASH_2W";"SUM_TRN_AMT_RUB_CASH_2W";"SUM_TRN_AMT_USD_TRVL_2W";"SUM_TRN_AMT_RUB_TRVL_2W";"SUM_TRN_AMT_USD_MED_2W";"SUM_TRN_AMT_RUB_MED_2W";"SUM_TRN_AMT_USD_RTL_2W";"SUM_TRN_AMT_RUB_RTL_2W";"SUM_TRN_AMT_USD_NRTL_1W";"SUM_TRN_AMT_RUB_NRTL_1W";"SUM_TRN_AMT_USD_CASH_1W";"SUM_TRN_AMT_RUB_CASH_1W";"SUM_TRN_AMT_USD_TRVL_1W";"SUM_TRN_AMT_RUB_TRVL_1W";"SUM_TRN_AMT_USD_MED_1W";"SUM_TRN_AMT_RUB_MED_1W";"SUM_TRN_AMT_USD_RTL_1W";"SUM_TRN_AMT_RUB_RTL_1W"
697;2022-03-23 18:51:06.677 +0300;6684.00000;1100.00000;;1100.00000;;;;;13000.00000;7739.00000;6684.00000;1100.00000;;1100.00000;;;;;13000.00000;7739.00000;6684.00000;1100.00000;;1100.00000;;;;;13000.00000;7739.00000;6684.00000;1100.00000;;1100.00000;;;;;13000.00000;7739.00000;6684.00000;1100.00000;;1100.00000;;;;;13000.00000;7739.00000;6684.00000;1100.00000;;1100.00000;;;;;13000.00000;7739.00000;6684.00000;1100.00000;;1100.00000;;;;;13000.00000;7739.00000;6684.00000;1100.00000;;1100.00000;;;;;13000.00000;7739.00000;6684.00000;1100.00000;;1100.00000;;;;;13000.00000;7739.00000;6684.00000;1100.00000;;1100.00000;;;;;13000.00000;7739.00000;6684.00000;1100.00000;;1100.00000;;;;;13000.00000;7739.00000;6684.00000;1100.00000;;1100.00000;;;;;13000.00000;7739.00000
698;2022-03-23 18:51:06.677 +0300;1387.00000;6212.00000;1387.00000;14313.00000;;;;;;;1387.00000;6212.00000;1387.00000;14313.00000;;;;;;;1387.00000;6212.00000;1387.00000;14313.00000;;;;;;;1387.00000;6212.00000;1387.00000;14313.00000;;;;;;;6015.00000;14313.00000;6015.00000;14313.00000;;;;;;;6015.00000;14313.00000;6015.00000;14313.00000;;;;;;;6015.00000;14313.00000;6015.00000;14313.00000;;;;;;;6015.00000;14313.00000;6015.00000;14313.00000;;;;;;;7402.00000;20525.00000;7402.00000;14313.00000;;;;;;;7402.00000;20525.00000;7402.00000;14313.00000;;;;;;;7402.00000;20525.00000;7402.00000;14313.00000;;;;;;;7402.00000;20525.00000;7402.00000;14313.00000;;;;;;
699;2022-03-23 18:51:06.677 +0300;;2538.00000;;;;;;;13483.00000;7039.00000;;2538.00000;;;;;;;13483.00000;7039.00000;;2538.00000;;;;;;;13483.00000;7039.00000;;2538.00000;;;;;;;13483.00000;7039.00000;;5438.00000;;;;;;;13483.00000;7039.00000;;5438.00000;;;;;;;13483.00000;7039.00000;;5438.00000;;;;;;;13483.00000;7039.00000;;5438.00000;;;;;;;13483.00000;7039.00000;;7976.00000;;;;;;;13483.00000;7039.00000;;7976.00000;;;;;;;13483.00000;7039.00000;;7976.00000;;;;;;;13483.00000;7039.00000;;7976.00000;;;;;;;13483.00000;7039.00000
700;2022-03-23 18:51:06.677 +0300;1041.00000;;5352.00000;;;;;;;;1041.00000;;5352.00000;;;;;;;;1041.00000;;5352.00000;;;;;;;;1041.00000;;5352.00000;;;;;;;;6628.00000;;5352.00000;;;;;;;;6628.00000;;5352.00000;;;;;;;;6628.00000;;5352.00000;;;;;;;;6628.00000;;5352.00000;;;;;;;;13021.00000;;5352.00000;;;;;;;;13021.00000;;5352.00000;;;;;;;;13021.00000;;5352.00000;;;;;;;;13021.00000;;5352.00000;;;;;;;
701;2022-03-23 18:51:06.677 +0300;3020.00000;11996.00000;3020.00000;;;;;;;;3020.00000;11996.00000;3020.00000;;;;;;;;3020.00000;11996.00000;3020.00000;;;;;;;;3020.00000;11996.00000;3020.00000;;;;;;;;8893.00000;11996.00000;3020.00000;;;;;;;;8893.00000;11996.00000;3020.00000;;;;;;;;8893.00000;11996.00000;3020.00000;;;;;;;;8893.00000;11996.00000;3020.00000;;;;;;;;11913.00000;11996.00000;3020.00000;;;;;;;;11913.00000;11996.00000;3020.00000;;;;;;;;11913.00000;11996.00000;3020.00000;;;;;;;;11913.00000;11996.00000;3020.00000;;;;;;;
702;2022-03-23 18:51:06.677 +0300;9634.00000;;;;;;;;;;9634.00000;;;;;;;;;;9634.00000;;;;;;;;;;9634.00000;;;;;;;;;;9634.00000;;;;;;;;;;9634.00000;;;;;;;;;;9634.00000;;;;;;;;;;9634.00000;;;;;;;;;;9634.00000;;;;;;;;;;9634.00000;;;;;;;;;;9634.00000;;;;;;;;;;9634.00000;;;;;;;;;
703;2022-03-23 18:51:06.677 +0300;7405.00000;1116.00000;;1116.00000;;;;;;;7405.00000;1116.00000;;1116.00000;;;;;;;7405.00000;1116.00000;;1116.00000;;;;;;;7405.00000;1116.00000;;1116.00000;;;;;;;7405.00000;1116.00000;;1116.00000;;;;;;;7405.00000;1116.00000;;1116.00000;;;;;;;7405.00000;1116.00000;;1116.00000;;;;;;;7405.00000;1116.00000;;1116.00000;;;;;;;7405.00000;1116.00000;;1116.00000;;;;;;;7405.00000;1116.00000;;1116.00000;;;;;;;7405.00000;1116.00000;;1116.00000;;;;;;;7405.00000;1116.00000;;1116.00000;;;;;;
704;2022-03-23 18:51:06.677 +0300;13550.00000;9035.00000;;;;;;;;12112.00000;13550.00000;9035.00000;;;;;;;;12112.00000;13550.00000;9035.00000;;;;;;;;12112.00000;13550.00000;9035.00000;;;;;;;;12112.00000;13550.00000;9035.00000;;;;;;;;12112.00000;13550.00000;9035.00000;;;;;;;;12112.00000;13550.00000;9035.00000;;;;;;;;12112.00000;13550.00000;9035.00000;;;;;;;;12112.00000;13550.00000;9035.00000;;;;;;;;12112.00000;13550.00000;9035.00000;;;;;;;;12112.00000;13550.00000;9035.00000;;;;;;;;12112.00000;13550.00000;9035.00000;;;;;;;;12112.00000
705;2022-03-23 18:51:06.677 +0300;6622.00000;;;;;;;;;;6622.00000;;;;;;;;;;6622.00000;;;;;;;;;;6622.00000;;;;;;;;;;9791.00000;;;;;;;;;;9791.00000;;;;;;;;;;9791.00000;;;;;;;;;;9791.00000;;;;;;;;;;16413.00000;;;;;;;;;;16413.00000;;;;;;;;;;16413.00000;;;;;;;;;;16413.00000;;;;;;;;;
706;2022-03-23 18:51:06.677 +0300;2444.00000;;;;;;;;;;2444.00000;;;;;;;;;;2444.00000;;;;;;;;;;2444.00000;;;;;;;;;;7517.00000;;;;;;;;;;7517.00000;;;;;;;;;;7517.00000;;;;;;;;;;7517.00000;;;;;;;;;;9961.00000;;;;;;;;;;9961.00000;;;;;;;;;;9961.00000;;;;;;;;;;9961.00000;;;;;;;;;
707;2022-03-23 18:51:06.677 +0300;6589.00000;;;;;;;;;14611.00000;6589.00000;;;;;;;;;14611.00000;6589.00000;;;;;;;;;14611.00000;6589.00000;;;;;;;;;14611.00000;14090.00000;;;;;;;;;14611.00000;14090.00000;;;;;;;;;14611.00000;14090.00000;;;;;;;;;14611.00000;14090.00000;;;;;;;;;14611.00000;20679.00000;;;;;;;;;14611.00000;20679.00000;;;;;;;;;14611.00000;20679.00000;;;;;;;;;14611.00000;20679.00000;;;;;;;;;14611.00000
708;2022-03-23 18:51:06.677 +0300;14587.00000;7409.00000;;;;;;;3174.00000;;14587.00000;7409.00000;;;;;;;3174.00000;;14587.00000;7409.00000;;;;;;;3174.00000;;14587.00000;7409.00000;;;;;;;3174.00000;;14587.00000;13990.00000;;;;;;;3174.00000;;14587.00000;13990.00000;;;;;;;3174.00000;;14587.00000;13990.00000;;;;;;;3174.00000;;14587.00000;13990.00000;;;;;;;3174.00000;;14587.00000;21399.00000;;;;;;;3174.00000;;14587.00000;21399.00000;;;;;;;3174.00000;;14587.00000;21399.00000;;;;;;;3174.00000;;14587.00000;21399.00000;;;;;;;3174.00000;
709;2022-03-23 18:51:06.677 +0300;;10959.00000;;;;;;;13451.00000;;;10959.00000;;;;;;;13451.00000;;;10959.00000;;;;;;;13451.00000;;;10959.00000;;;;;;;13451.00000;;;10959.00000;;;;;;;13451.00000;;;10959.00000;;;;;;;13451.00000;;;10959.00000;;;;;;;13451.00000;;;10959.00000;;;;;;;13451.00000;;;10959.00000;;;;;;;13451.00000;;;10959.00000;;;;;;;13451.00000;;;10959.00000;;;;;;;13451.00000;;;10959.00000;;;;;;;13451.00000;
710;2022-03-23 18:51:06.677 +0300;712.00000;;;;;;;;;;712.00000;;;;;;;;;;712.00000;;;;;;;;;;712.00000;;;;;;;;;;14724.00000;;;;;;;;;;14724.00000;;;;;;;;;;14724.00000;;;;;;;;;;14724.00000;;;;;;;;;;15436.00000;;;;;;;;;;15436.00000;;;;;;;;;;15436.00000;;;;;;;;;;15436.00000;;;;;;;;;
711;2022-03-23 18:51:06.677 +0300;9503.00000;14924.00000;;;;14965.00000;;;;680.00000;9503.00000;14924.00000;;;;14965.00000;;;;680.00000;9503.00000;14924.00000;;;;14965.00000;;;;680.00000;9503.00000;14924.00000;;;;14965.00000;;;;680.00000;9503.00000;14965.00000;;;;14965.00000;;;;680.00000;9503.00000;14965.00000;;;;14965.00000;;;;680.00000;9503.00000;14965.00000;;;;14965.00000;;;;680.00000;9503.00000;14965.00000;;;;14965.00000;;;;680.00000;9503.00000;29889.00000;;;;14965.00000;;;;680.00000;9503.00000;29889.00000;;;;14965.00000;;;;680.00000;9503.00000;29889.00000;;;;14965.00000;;;;680.00000;9503.00000;29889.00000;;;;14965.00000;;;;680.00000
712;2022-03-23 18:51:06.677 +0300;9562.00000;7839.00000;;;;;;;;;9562.00000;7839.00000;;;;;;;;;9562.00000;7839.00000;;;;;;;;;9562.00000;7839.00000;;;;;;;;;9562.00000;7839.00000;;;;;;;;;9562.00000;7839.00000;;;;;;;;;9562.00000;7839.00000;;;;;;;;;9562.00000;7839.00000;;;;;;;;;9562.00000;7839.00000;;;;;;;;;9562.00000;7839.00000;;;;;;;;;9562.00000;7839.00000;;;;;;;;;9562.00000;7839.00000;;;;;;;;
713;2022-03-23 18:51:06.677 +0300;;981.00000;;;;10059.00000;;;4725.00000;;;981.00000;;;;10059.00000;;;4725.00000;;;981.00000;;;;10059.00000;;;4725.00000;;;981.00000;;;;10059.00000;;;4725.00000;;;10059.00000;;;;10059.00000;;;10617.00000;;;10059.00000;;;;10059.00000;;;10617.00000;;;10059.00000;;;;10059.00000;;;10617.00000;;;10059.00000;;;;10059.00000;;;10617.00000;;;13487.00000;;;;10059.00000;;;24654.00000;;;13487.00000;;;;10059.00000;;;24654.00000;;;13487.00000;;;;10059.00000;;;24654.00000;;;13487.00000;;;;10059.00000;;;24654.00000;
